Instrument,Qty.,Avg. cost,LTP,Cur. val,P&L,Net chg.,Day chg.
AMARAJABAT,70,529.49,592.55,41478.5,4414.5,11.91,-0.65
EXIDEIND,157,149.94,154.1,24193.7,652.9,2.77,-0.61
GOLDBEES,1,42.5,41.65,41.65,-0.85,-2,0.53
HDFCBANK,155,916.85,838.85,130021.75,-12089.75,-8.51,-2.41
ICICIBANK,107,342.18,291.05,31142.35,-5471.1,-14.94,-4.39
ICICINIFTY,2,94.33,95.46,190.92,2.26,1.2,-0.51
IDEA,200,4.15,5.5,1100,270,32.53,-0.9
ITC,168,167,186.35,31306.8,3251.55,11.59,-1.38
JUNIORBEES,1,237.65,240.86,240.86,3.21,1.35,-0.8
LICHSGFIN,200,265.77,241.05,48210,-4943.45,-9.3,-2.47
LT,30,841.13,815.7,24471,-763,-3.02,-0.59
NIFTYBEES,1,94.91,96.11,96.11,1.2,1.26,-0.6
PVR,25,889.5,849.75,21243.75,-993.75,-4.47,-3.39
RELIANCE,70,1369.64,1431.55,100208.5,4333.5,4.52,-0.67
RIL-RE-BE,5,119.55,215.15,1075.75,478,79.97,-7.9
SAGCEM,150,302.47,276.95,41542.5,-3827.5,-8.44,3.22
SBIN,310,189.35,150.85,46763.5,-11936.5,-20.33,-0.72
TCS,16,1892.33,2020.35,32325.6,2048.4,6.77,1.46
UVSL-BE,1500,0.15,0.2,300,75,33.33,-4.76
